8-Digit Number,Answer
10110110,1
01100001,0
00111100,1
10101011,1
11000111,0
01011100,1
01111110,1
11110001,1
01011110,1
10011001,0
01000100,0
10000111,1
11111101,0
10101000,1
10001101,0
01100101,0
10010111,1
11010100,1
01111111,1
01011001,0
00010001,0
01111011,1
00011111,0
00011011,1
11111001,1
11010111,1
11110100,0
00010010,0
01110010,1
00101011,0
00111111,1
11000001,0
01110000,0
11110010,1
11000101,0
10010001,0
11011010,1
11011111,1
10110100,1
11100101,1
10101100,1
11100011,0
10101001,1
10110111,1
11010010,0
11100100,0
10110011,1
10111101,1
11111110,1
10100011,0
00110101,0
11101010,1
10001011,0
11101111,1
00111101,1
01100110,0
01111101,1
01110111,1
10001111,0
11100111,1
00000110,0
10010011,1
00111000,1
01001010,0
11100001,1
01101101,1
01000010,0
10111111,1
11101100,1
01110101,1
01110011,1
00101001,0
10011000,1
11111000,1
11010001,0
10011111,1
11000110,0
11111011,1
11001100,1
00001101,0
01101001,0
11001011,1
11010101,1
01111010,1
11100010,0
01100011,0
11011100,1
00100110,0
10101101,1
00101111,1
01001011,0
01000101,0
01100010,0
10110000,0
01011111,1
00100000,0
00111001,1
00000101,0
11001001,1
10000110,0
